division,division_name,industry_group,industry_group_name,sic_code,industry_name
A,"Agriculture, Forestry, And Fishing",01,Agricultural Production Crops,0111,Wheat
A,"Agriculture, Forestry, And Fishing",01,Agricultural Production Crops,0112,Rice
A,"Agriculture, Forestry, And Fishing",01,Agricultural Production Crops,0115,Corn
A,"Agriculture, Forestry, And Fishing",01,Agricultural Production Crops,0116,Soybeans
A,"Agriculture, Forestry, And Fishing",01,Agricultural Production Crops,0119,"Cash Grains, Not Elsewhere Classified"
A,"Agriculture, Forestry, And Fishing",01,Agricultural Production Crops,0131,Cotton
A,"Agriculture, Forestry, And Fishing",01,Agricultural Production Crops,0132,Tobacco
A,"Agriculture, Forestry, And Fishing",01,Agricultural Production Crops,0133,Sugarcane and Sugar Beets
A,"Agriculture, Forestry, And Fishing",01,Agricultural Production Crops,0134,Irish Potatoes
A,"Agriculture, Forestry, And Fishing",01,Agricultural Production Crops,0139,"Field Crops, Except Cash Grains, Not Elsewhere Classified"
A,"Agriculture, Forestry, And Fishing",01,Agricultural Production Crops,0161,Vegetables and Melons
A,"Agriculture, Forestry, And Fishing",01,Agricultural Production Crops,0171,Berry Crops
A,"Agriculture, Forestry, And Fishing",01,Agricultural Production Crops,0172,Grapes
A,"Agriculture, Forestry, And Fishing",01,Agricultural Production Crops,0173,Tree Nuts
A,"Agriculture, Forestry, And Fishing",01,Agricultural Production Crops,0174,Citrus Fruits
A,"Agriculture, Forestry, And Fishing",01,Agricultural Production Crops,0175,Deciduous Tree Fruits
A,"Agriculture, Forestry, And Fishing",01,Agricultural Production Crops,0179,"Fruits and Tree Nuts, Not Elsewhere Classified"
A,"Agriculture, Forestry, And Fishing",01,Agricultural Production Crops,0181,Ornamental Floriculture and Nursery Products
A,"Agriculture, Forestry, And Fishing",01,Agricultural Production Crops,0182,Food Crops Grown Under Cover
A,"Agriculture, Forestry, And Fishing",01,Agricultural Production Crops,0191,"General Farms, Primarily Crop"
A,"Agriculture, Forestry, And Fishing",02,Agriculture Production Livestock And Animal Specialties,0211,Beef Cattle Feedlots
A,"Agriculture, Forestry, And Fishing",02,Agriculture Production Livestock And Animal Specialties,0212,"Beef Cattle, Except Feedlots"
A,"Agriculture, Forestry, And Fishing",02,Agriculture Production Livestock And Animal Specialties,0213,Hogs
A,"Agriculture, Forestry, And Fishing",02,Agriculture Production Livestock And Animal Specialties,0214,Sheep and Goats
A,"Agriculture, Forestry, And Fishing",02,Agriculture Production Livestock And Animal Specialties,0219,"General Livestock, Except Dairy and Poultry"
A,"Agriculture, Forestry, And Fishing",02,Agriculture Production Livestock And Animal Specialties,0241,Dairy Farms
A,"Agriculture, Forestry, And Fishing",02,Agriculture Production Livestock And Animal Specialties,0251,"Broiler, Fryer, and Roaster Chickens"
A,"Agriculture, Forestry, And Fishing",02,Agriculture Production Livestock And Animal Specialties,0252,Chicken Eggs
A,"Agriculture, Forestry, And Fishing",02,Agriculture Production Livestock And Animal Specialties,0253,Turkeys and Turkey Eggs
A,"Agriculture, Forestry, And Fishing",02,Agriculture Production Livestock And Animal Specialties,0254,Poultry Hatcheries
A,"Agriculture, Forestry, And Fishing",02,Agriculture Production Livestock And Animal Specialties,0259,"Poultry and Eggs, Not Elsewhere Classified"
A,"Agriculture, Forestry, And Fishing",02,Agriculture Production Livestock And Animal Specialties,0271,Fur-Bearing Animals and Rabbits
A,"Agriculture, Forestry, And Fishing",02,Agriculture Production Livestock And Animal Specialties,0272,Horses and Other Equines
A,"Agriculture, Forestry, And Fishing",02,Agriculture Production Livestock And Animal Specialties,0273,Animal Aquaculture
A,"Agriculture, Forestry, And Fishing",02,Agriculture Production Livestock And Animal Specialties,0279,"Animal Specialties, Not Elsewhere Classified"
A,"Agriculture, Forestry, And Fishing",02,Agriculture Production Livestock And Animal Specialties,0291,"General Farms, Primarily Livestock and Animal Specialties"
A,"Agriculture, Forestry, And Fishing",07,Agricultural Services,0711,Soil Preparation Services
A,"Agriculture, Forestry, And Fishing",07,Agricultural Services,0721,"Crop Planting, Cultivating, and Protecting"
A,"Agriculture, Forestry, And Fishing",07,Agricultural Services,0722,"Crop Harvesting, Primarily by Machine"
A,"Agriculture, Forestry, And Fishing",07,Agricultural Services,0723,"Crop Preparation Services for Market, Except Cotton Ginning"
A,"Agriculture, Forestry, And Fishing",07,Agricultural Services,0724,Cotton Ginning
A,"Agriculture, Forestry, And Fishing",07,Agricultural Services,0741,Veterinary Services for Livestock
A,"Agriculture, Forestry, And Fishing",07,Agricultural Services,0742,Veterinary Services for Animal Specialties
A,"Agriculture, Forestry, And Fishing",07,Agricultural Services,0751,"Livestock Services, Except Veterinary"
A,"Agriculture, Forestry, And Fishing",07,Agricultural Services,0752,"Animal Specialty Services, Except Veterinary"
A,"Agriculture, Forestry, And Fishing",07,Agricultural Services,0761,Farm Labor Contractors and Crew Leaders
A,"Agriculture, Forestry, And Fishing",07,Agricultural Services,0762,Farm Management Services
A,"Agriculture, Forestry, And Fishing",07,Agricultural Services,0781,Landscape Counseling and Planning
A,"Agriculture, Forestry, And Fishing",07,Agricultural Services,0782,Lawn and Garden Services
A,"Agriculture, Forestry, And Fishing",07,Agricultural Services,0783,Ornamental Shrub and Tree Services
A,"Agriculture, Forestry, And Fishing",08,Forestry,0811,Timber Tracts
A,"Agriculture, Forestry, And Fishing",08,Forestry,0831,Forest Nurseries and Gathering of Forest Products
A,"Agriculture, Forestry, And Fishing",08,Forestry,0851,Forestry Services
A,"Agriculture, Forestry, And Fishing",09,"Fishing, Hunting, And Trapping",0912,Finfish
A,"Agriculture, Forestry, And Fishing",09,"Fishing, Hunting, And Trapping",0913,Shellfish
A,"Agriculture, Forestry, And Fishing",09,"Fishing, Hunting, And Trapping",0919,Miscellaneous Marine Products
A,"Agriculture, Forestry, And Fishing",09,"Fishing, Hunting, And Trapping",0921,Fish Hatcheries and Preserves
A,"Agriculture, Forestry, And Fishing",09,"Fishing, Hunting, And Trapping",0971,"Hunting and Trapping, and Game Propagation"
B,Mining,10,Metal Mining,1011,Iron Ores
B,Mining,10,Metal Mining,1021,Copper Ores
B,Mining,10,Metal Mining,1031,Lead and Zinc Ores
B,Mining,10,Metal Mining,1041,Gold Ores
B,Mining,10,Metal Mining,1044,Silver Ores
B,Mining,10,Metal Mining,1061,"Ferroalloy Ores, Except Vanadium"
B,Mining,10,Metal Mining,1081,Metal Mining Services
B,Mining,10,Metal Mining,1094,Uranium-Radium-Vanadium Ores
B,Mining,10,Metal Mining,1099,"Miscellaneous Metal Ores, Not Elsewhere Classified"
B,Mining,12,Coal Mining,1221,Bituminous Coal and Lignite Surface Mining
B,Mining,12,Coal Mining,1222,Bituminous Coal Underground Mining
B,Mining,12,Coal Mining,1231,Anthracite Mining
B,Mining,12,Coal Mining,1241,Coal Mining Services
B,Mining,13,Oil And Gas Extraction,1311,Crude Petroleum and Natural Gas
B,Mining,13,Oil And Gas Extraction,1321,Natural Gas Liquids
B,Mining,13,Oil And Gas Extraction,1381,Drilling Oil and Gas Wells
B,Mining,13,Oil And Gas Extraction,1382,Oil and Gas Field Exploration Services
B,Mining,13,Oil And Gas Extraction,1389,"Oil and Gas Field Services, Not Elsewhere Classified"
B,Mining,14,"Mining And Quarrying Of Nonmetallic Minerals, Except Fuels",1411,Dimension Stone
B,Mining,14,"Mining And Quarrying Of Nonmetallic Minerals, Except Fuels",1422,Crushed and Broken Limestone
B,Mining,14,"Mining And Quarrying Of Nonmetallic Minerals, Except Fuels",1423,Crushed and Broken Granite
B,Mining,14,"Mining And Quarrying Of Nonmetallic Minerals, Except Fuels",1429,"Crushed and Broken Stone, Not Elsewhere Classified"
B,Mining,14,"Mining And Quarrying Of Nonmetallic Minerals, Except Fuels",1442,Construction Sand and Gravel
B,Mining,14,"Mining And Quarrying Of Nonmetallic Minerals, Except Fuels",1446,Industrial Sand
B,Mining,14,"Mining And Quarrying Of Nonmetallic Minerals, Except Fuels",1455,Kaolin and Ball Clay
B,Mining,14,"Mining And Quarrying Of Nonmetallic Minerals, Except Fuels",1459,"Clay, Ceramic, and Refractory Minerals, Not Elsewhere Classified"
B,Mining,14,"Mining And Quarrying Of Nonmetallic Minerals, Except Fuels",1474,"Potash, Soda, and Borate Minerals"
B,Mining,14,"Mining And Quarrying Of Nonmetallic Minerals, Except Fuels",1475,Phosphate Rock
B,Mining,14,"Mining And Quarrying Of Nonmetallic Minerals, Except Fuels",1479,"Chemical and Fertilizer Mineral Mining, Not Elsewhere Classified"
B,Mining,14,"Mining And Quarrying Of Nonmetallic Minerals, Except Fuels",1481,"Nonmetallic Minerals Services, Except Fuels"
B,Mining,14,"Mining And Quarrying Of Nonmetallic Minerals, Except Fuels",1499,"Miscellaneous Nonmetallic Minerals, Except Fuels"
C,Construction,15,Building Construction General Contractors And Operative Builders,1521,General Contractors-Single-Family Houses
C,Construction,15,Building Construction General Contractors And Operative Builders,1522,"General Contractors-Residential Buildings, Other Than Single-Family"
C,Construction,15,Building Construction General Contractors And Operative Builders,1531,Operative Builders
C,Construction,15,Building Construction General Contractors And Operative Builders,1541,General Contractors-Industrial Buildings and Warehouses
C,Construction,15,Building Construction General Contractors And Operative Builders,1542,"General Contractors-Nonresidential Buildings, Other than Industrial Buildings and Warehouses"
C,Construction,16,Heavy Construction Other Than Building Construction Contractors,1611,"Highway and Street Construction, Except Elevated Highways"
C,Construction,16,Heavy Construction Other Than Building Construction Contractors,1622,"Bridge, Tunnel, and Elevated Highway Construction"
C,Construction,16,Heavy Construction Other Than Building Construction Contractors,1623,"Water, Sewer, Pipeline, and Communications and Power Line Construction"
C,Construction,16,Heavy Construction Other Than Building Construction Contractors,1629,"Heavy Construction, Not Elsewhere Classified"
C,Construction,17,Construction Special Trade Contractors,1711,"Plumbing, Heating and Air-Conditioning"
C,Construction,17,Construction Special Trade Contractors,1721,Painting and Paper Hanging
C,Construction,17,Construction Special Trade Contractors,1731,Electrical Work
C,Construction,17,Construction Special Trade Contractors,1741,"Masonry, Stone Setting, and Other Stone Work"
C,Construction,17,Construction Special Trade Contractors,1742,"Plastering, Drywall, Acoustical, and Insulation Work"
C,Construction,17,Construction Special Trade Contractors,1743,"Terrazzo, Tile, Marble, and Mosaic Work"
C,Construction,17,Construction Special Trade Contractors,1751,Carpentry Work
C,Construction,17,Construction Special Trade Contractors,1752,"Floor Laying and Other Floor Work, Not Elsewhere Classified"
C,Construction,17,Construction Special Trade Contractors,1761,"Roofing, Siding, and Sheet Metal Work"
C,Construction,17,Construction Special Trade Contractors,1771,Concrete Work
C,Construction,17,Construction Special Trade Contractors,1781,Water Well Drilling
C,Construction,17,Construction Special Trade Contractors,1791,Structural Steel Erection
C,Construction,17,Construction Special Trade Contractors,1793,Glass and Glazing Work
C,Construction,17,Construction Special Trade Contractors,1794,Excavation Work
C,Construction,17,Construction Special Trade Contractors,1795,Wrecking and Demolition Work
C,Construction,17,Construction Special Trade Contractors,1796,"Installation or Erection of Building Equipment, Not Elsewhere"
C,Construction,17,Construction Special Trade Contractors,1799,"Special Trade Contractors, Not Elsewhere Classified"
D,Manufacturing,20,Food And Kindred Products,2011,Meat Packing Plants
D,Manufacturing,20,Food And Kindred Products,2013,Sausages and Other Prepared Meat Products
D,Manufacturing,20,Food And Kindred Products,2015,Poultry Slaughtering and Processing
D,Manufacturing,20,Food And Kindred Products,2021,Creamery Butter
D,Manufacturing,20,Food And Kindred Products,,"Natural, Processed, and Imitation Cheese"
D,Manufacturing,20,Food And Kindred Products,2023,"Dry, Condensed, and Evaporated Dairy Products"
D,Manufacturing,20,Food And Kindred Products,2024,Ice Cream and Frozen Desserts
D,Manufacturing,20,Food And Kindred Products,2026,Fluid Milk
D,Manufacturing,20,Food And Kindred Products,2032,Canned Specialties
D,Manufacturing,20,Food And Kindred Products,2033,"Canned Fruits, Vegetables, Preserves, Jams, and Jellies"
D,Manufacturing,20,Food And Kindred Products,2034,"Dried and Dehydrated Fruits, Vegetables, and Soup Mixes"
D,Manufacturing,20,Food And Kindred Products,2035,"Pickled Fruits and Vegetables, Vegetable Sauces and Seasonings, and Salad Dressings"
D,Manufacturing,20,Food And Kindred Products,2037,"Frozen Fruits, Fruit Juices, and Vegetables"
D,Manufacturing,20,Food And Kindred Products,2038,"Frozen Specialties, Not Elsewhere Classified"
D,Manufacturing,20,Food And Kindred Products,2041,Flour and Other Grain Mill Products
D,Manufacturing,20,Food And Kindred Products,2043,Cereal Breakfast Foods
D,Manufacturing,20,Food And Kindred Products,2044,Rice Milling
D,Manufacturing,20,Food And Kindred Products,2045,Prepared Flour Mixes and Doughs
D,Manufacturing,20,Food And Kindred Products,2046,Wet Corn Milling
D,Manufacturing,20,Food And Kindred Products,2047,Dog and Cat Food
D,Manufacturing,20,Food And Kindred Products,2048,"Prepared Feed and Feed Ingredients for Animals and Fowls, Except Dogs and Cats"
D,Manufacturing,20,Food And Kindred Products,2051,"Bread and Other Bakery Products, Except Cookies and Crackers"
D,Manufacturing,20,Food And Kindred Products,2052,Cookies and Crackers
D,Manufacturing,20,Food And Kindred Products,2053,"Frozen Bakery Products, Except Bread"
D,Manufacturing,20,Food And Kindred Products,2061,"Cane Sugar, Except Refining"
D,Manufacturing,20,Food And Kindred Products,2062,Cane Sugar Refining
D,Manufacturing,20,Food And Kindred Products,2063,Beet Sugar
D,Manufacturing,20,Food And Kindred Products,2064,Candy and Other Confectionery Products
D,Manufacturing,20,Food And Kindred Products,2066,Chocolate and Cocoa Products
D,Manufacturing,20,Food And Kindred Products,2067,Chewing Gum
D,Manufacturing,20,Food And Kindred Products,2068,Salted and Roasted Nuts and Seeds
D,Manufacturing,20,Food And Kindred Products,2074,Cottonseed Oil Mills
D,Manufacturing,20,Food And Kindred Products,2075,Soybean Oil Mills
D,Manufacturing,20,Food And Kindred Products,2076,"Vegetable Oil Mills, Except Corn, Cottonseed, and Soybean"
D,Manufacturing,20,Food And Kindred Products,2077,Animal and Marine Fats and Oils
D,Manufacturing,20,Food And Kindred Products,2079,"Shortening, Table Oils, Margarine, and Other Edible Fats and Oils, Not Elsewhere Classified"
D,Manufacturing,20,Food And Kindred Products,2082,Malt Beverages
